"date","precip","temp","sun"
1961-01-01,4.04167163189655,-0.336435134319397,NA
1961-01-02,3.64082760689655,-0.492250224801724,NA
1961-01-03,20.3914295344828,-0.349957140275862,NA
1961-01-04,3.75938288706897,-1.70006766033621,NA
1961-01-05,0.0908182252,-2.23892303887931,NA
1961-01-06,2.3851943387931,-2.92312938706897,NA
1961-01-07,0.0377450618143026,-1.69484017614397,NA
1961-01-08,1.07798827431034,-0.755564338163793,NA
1961-01-09,1.01729919439655,0.0120739697637931,NA
1961-01-10,0.826831861418017,-0.471035691344828,NA
1961-01-11,0.0140398079054489,-0.416848863948276,NA
1961-01-12,0,-1.30253608798534,NA
1961-01-13,0,-2.62405161637931,NA
1961-01-14,0,-3.59613411551724,NA
1961-01-15,0,-4.64749100426724,NA
1961-01-16,0,-4.33470323982759,NA
1961-01-17,0,-4.14964677327586,NA
1961-01-18,0,-4.78809100775862,NA
1961-01-19,0,-5.64349328275862,NA
1961-01-20,0.157973147431983,-2.8534266362069,NA
1961-01-21,0.0705887602351207,-1.5042736787069,NA
1961-01-22,0.124334037344483,-2.96167834224138,NA
1961-01-23,8.29652865517241,-0.192288530408621,NA
1961-01-24,15.1900023275862,-0.146608457814655,NA
1961-01-25,1.12191259862069,0.373815827482759,NA
1961-01-26,0.0942783540169122,-1.63354358956897,NA
1961-01-27,0,-3.46004008534483,NA
1961-01-28,3.56183743362069,-1.076237527,NA
1961-01-29,0,0.469049503801724,NA
1961-01-30,2.78429959310345,2.75863374568966,NA
1961-01-31,11.1905443991379,3.83205586206897,NA
1961-02-01,3.6897556612069,0.375586823198276,NA
1961-02-02,14.4192120594828,0.723065441853448,NA
1961-02-03,6.92233839224138,0.305550608008621,NA
1961-02-04,4.14102315948276,0.362861608465517,NA
1961-02-05,1.60552927663793,0.898289028715517,NA
1961-02-06,4.53219804482759,3.59023740948276,NA
1961-02-07,1.11722859815517,0.21977255225,NA
1961-02-08,0.00591800076598276,2.24067456339794,NA
1961-02-09,2.07214054931034,3.56120015012931,NA
1961-02-10,0.0509933902691552,1.99824575177586,NA
1961-02-11,3.61844561060345,3.27446035978448,NA
1961-02-12,14.4719770086207,2.4825033662931,NA
1961-02-13,0,3.80428718732759,NA
1961-02-14,0,4.05311206551724,NA
1961-02-15,0,4.74753398017241,NA
1961-02-16,0,4.37379692844828,NA
1961-02-17,0,4.19653556206897,NA
1961-02-18,0,4.48854473965517,NA
1961-02-19,0,3.60743477318965,NA
1961-02-20,0,0.815978544919828,NA
1961-02-21,0,1.41030549724138,NA
1961-02-22,0,1.72615712952759,NA
1961-02-23,0.0498889001994138,3.49774891564655,NA
1961-02-24,0,4.89912477931034,NA
1961-02-25,0,4.67304894241379,NA
1961-02-26,0.0276130273137379,6.58272927758621,NA
1961-02-27,0,8.15224558706896,NA
1961-02-28,7.55546817155172,3.25228539422414,NA
1961-03-01,5.14827848189655,1.68197507258621,NA
1961-03-02,0.105951271469362,0.924280707224138,NA
1961-03-03,0.290243106028728,1.3982717627931,NA
1961-03-04,0,1.08382414743966,NA
1961-03-05,0,1.74645608948276,NA
1961-03-06,0,3.95885922931034,NA
1961-03-07,0,5.29539450775862,NA
1961-03-08,0,5.12630442672414,NA
1961-03-09,0,6.46359997413793,NA
1961-03-10,0,6.43071230112069,NA
1961-03-11,0,7.46149341982759,NA
1961-03-12,0,6.50387207758621,NA
1961-03-13,0,7.95937257068966,NA
1961-03-14,0,6.34541177672414,NA
1961-03-15,0,7.13422751206897,NA
1961-03-16,0,6.80971984224138,NA
1961-03-17,0,8.73571890172414,NA
1961-03-18,18.1035825689655,6.95088034913793,NA
1961-03-19,5.30033626810345,0.600259443103448,NA
1961-03-20,0,-0.265420041903448,NA
1961-03-21,7.65263513189655,-0.137658994928534,NA
1961-03-22,0,-2.04313046491379,NA
1961-03-23,0,0.372897089836207,NA
1961-03-24,0,3.63004919686207,NA
1961-03-25,0,4.88264089310345,NA
1961-03-26,0,6.63452115344828,NA
1961-03-27,0,4.64949337091379,NA
1961-03-28,0,1.88752068983621,NA
1961-03-29,0.0251580308311121,5.28337077913793,NA
1961-03-30,3.4729271362069,7.09212966698276,NA
1961-03-31,1.19205998633621,7.28237330689655,NA
1961-04-01,1.82924108793103,7.76107863965517,NA
1961-04-02,2.55507793224138,8.64843317758621,NA
1961-04-03,0.208601061043103,7.21456435172414,NA
1961-04-04,0,9.68449105517241,NA
1961-04-05,0,11.5251525689655,NA
1961-04-06,0,13.0517764448276,NA
1961-04-07,0.0352440836512069,12.0802927275862,NA
1961-04-08,1.40321383327586,12.6676645991379,NA
1961-04-09,0.816391242829483,11.9300330068966,NA
1961-04-10,6.98920491974138,11.9311113043103,NA
1961-04-11,0.80046411862931,8.59810821810345,NA
1961-04-12,0,10.5480406034483,NA
1961-04-13,0.000792822789445,12.4974571086207,NA
1961-04-14,12.7746456465517,9.78754025431035,NA
1961-04-15,4.22712436465517,5.15101139681035,NA
1961-04-16,1.20459919672414,7.45318920258621,NA
1961-04-17,12.4286809646552,8.89143750517241,NA
1961-04-18,6.49655011034483,6.41507500448276,NA
1961-04-19,0,8.21486941810345,NA
1961-04-20,1.01086390641862,9.55998644051724,NA
1961-04-21,5.53072322155172,9.36714812155172,NA
1961-04-22,6.60178794568966,7.29156640948276,NA
1961-04-23,26.96379975,5.20198263152586,NA
1961-04-24,3.42588277931034,4.49138190246552,NA
1961-04-25,10.6243263663793,8.23381891724138,NA
1961-04-26,5.02779353189655,7.02587733827586,NA
1961-04-27,4.9333125e-07,7.62944851465517,NA
