"doy";"kc_overall";"irrigated_area"
"147";147;1.04222753159825;11367165.1
"148";148;1.0437717211059;11367165.1
"149";149;1.04531591061355;11367165.1
"150";150;1.0468601001212;11367165.1
"151";151;1.04840428962886;11367165.1
"152";152;1.04994847913651;11367165.1
"153";153;1.05149266864416;11367165.1
"154";154;1.05303685815181;11367165.1
"155";155;1.05458104765946;11367165.1
"156";156;1.05612523716711;11367165.1
"157";157;1.05766942667476;11367165.1
"158";158;1.05921361618241;11367165.1
"159";159;1.06075780569006;11367165.1
"160";160;1.06230199519771;11367165.1
"161";161;1.06384618470536;11367165.1
"162";162;1.06539037421302;11367165.1
"163";163;1.06693456372067;11367165.1
"164";164;1.06847875322832;11367165.1
"165";165;1.07002294273597;11367165.1
"166";166;1.07171436446903;11367165.1
"167";167;1.07349596635741;11367165.1
"168";168;1.0752775682458;11367165.1
"169";169;1.07705917013418;11367165.1
"170";170;1.07884077202256;11367165.1
"171";171;1.08062237391095;11367165.1
"172";172;1.08240397579933;11367165.1
"173";173;1.08418557768771;11367165.1
"174";174;1.0859671795761;11367165.1
"175";175;1.08774878146448;11367165.1
"176";176;1.08953038335287;11367165.1
"177";177;1.08943050390465;11367165.1
"178";178;1.08933062445643;11367165.1
"179";179;1.08923074500821;11367165.1
"180";180;1.08913086555999;11367165.1
"181";181;1.08903098611178;11367165.1
"182";182;1.08893110666356;11367165.1
"183";183;1.1161679117194;11016013.2
"184";184;1.11666253276316;11016013.2
"185";185;1.11715715380692;11016013.2
"186";186;1.11765177485067;11016013.2
"187";187;1.11814639589443;11016013.2
"188";188;1.11864101693818;11016013.2
"189";189;1.11913563798194;11016013.2
"190";190;1.1196302590257;11016013.2
"191";191;1.12012488006945;11016013.2
"192";192;1.12061950111321;11016013.2
"193";193;1.12111412215696;11016013.2
"194";194;1.11205035339233;11016013.2
"195";195;1.10298658462769;11016013.2
"196";196;1.09392281586305;11016013.2
"197";197;1.08444218000842;11016013.2
"198";198;1.07496154415378;11016013.2
"199";199;1.06548090829915;11016013.2
"200";200;1.05600027244452;11016013.2
"201";201;1.04651963658988;11016013.2
"202";202;1.03694594595257;11016013.2
"203";203;1.02737225531526;11016013.2
"204";204;1.01779856467795;11016013.2
"205";205;1.00822487404064;11016013.2
"206";206;0.998651183403327;11016013.2
"207";207;0.989050382933304;11016013.2
"208";208;0.979449582463282;11016013.2
"209";209;0.969848781993259;11016013.2
"210";210;0.960247981523237;11016013.2
"211";211;0.950647181053214;11016013.2
"212";212;0.941046380583192;11016013.2
"213";213;0.931445580113169;11016013.2
"214";214;1.1162261167823;8685896.73
"215";215;1.11617232885195;8685896.73
"216";216;1.1161185409216;8685896.73
"217";217;1.11606475299125;8685896.73
"218";218;1.11601096506091;8685896.73
"219";219;1.11595717713056;8685896.73
"220";220;1.11590338920021;8685896.73
"221";221;1.11584960126986;8685896.73
"222";222;1.11579581333951;8685896.73
"223";223;1.11574202540916;8685896.73
"224";224;1.11568823747881;8685896.73
"225";225;1.11563444954846;8685896.73
"226";226;1.11558066161811;8685896.73
"227";227;1.10897474297088;8566439.82
"228";228;1.09812908942191;8917591.72
"229";229;1.09157458187377;8917591.72
"230";230;1.08502007432563;8917591.72
"231";231;1.07846556677748;8917591.72
"232";232;1.07147142105537;8917591.72
"233";233;1.06447727533326;8917591.72
"234";234;1.05748312961114;8917591.72
"235";235;1.05048898388903;8917591.72
"236";236;1.04349483816691;8917591.72
"237";237;1.0365006924448;8917591.72
"238";238;1.02950654672268;8917591.72
"239";239;1.02251240100057;8917591.72
"240";240;1.01551825527845;8917591.72
"241";241;1.00852410955634;8917591.72
"242";242;1.00152996383423;8917591.72
"243";243;0.994535818112112;8917591.72
"244";244;0.987541672389998;8917591.72
"245";245;0.980547526667883;8917591.72
"246";246;0.973553380945769;8917591.72
"247";247;0.964321486543678;8917591.72
"248";248;0.955089592141587;8917591.72
"249";249;0.945857697739496;8917591.72
"250";250;0.936625803337406;8917591.72
"251";251;0.927393908935314;8917591.72
"252";252;0.917464640623847;8917591.72
"253";253;0.90753537231238;8917591.72
"254";254;0.897606104000912;8917591.72
"255";255;0.887676835689445;8917591.72
"256";256;0.875558020493601;8917591.72
"257";257;0.872717558585542;8766802.73
"258";258;0.860837499741482;8766802.73
"259";259;0.848957440897422;8766802.73
"260";260;0.837077382053361;8766802.73
"261";261;0.825197323209302;8766802.73
"262";262;0.813317264365241;8766802.73
"263";263;0.801437205521181;8766802.73
"264";264;0.789557146677121;8766802.73
"265";265;0.777677087833061;8766802.73
"266";266;0.765797028989001;8766802.73
"267";267;0.753916970144941;8766802.73
"268";268;0.742036911300881;8766802.73
"269";269;0.730156852456821;8766802.73
"270";270;0.718276793612761;8766802.73
"271";271;0.706396734768701;8766802.73
"272";272;0.69451667592464;8766802.73
"273";273;0.68263661708058;8766802.73
"274";274;0.67075655823652;8766802.73
"275";275;0.65887649939246;8766802.73
"276";276;0.6469964405484;8766802.73
"277";277;0.787003744107483;4352584.27
"278";278;0.77793308359465;4352584.27
"279";279;0.768862423081817;4352584.27
"280";280;0.759791762568984;4352584.27
"281";281;0.750721102056151;4352584.27
"282";282;0.741650441543318;4352584.27
"283";283;0.732579781030485;4352584.27
"284";284;0.723509120517652;4352584.27
"285";285;0.714438460004819;4352584.27
"286";286;0.721342985227785;2009526.05
"287";287;0.988819812879675;452284.38
"288";288;0.988819812879675;452284.38
"289";289;0.998182640003147;2782400.85
"290";290;0.998182640003147;2782400.85
"291";291;0.998182640003147;2782400.85
"292";292;0.998182640003147;2782400.85
"293";293;0.998182640003147;2782400.85
"294";294;0.998182640003147;2782400.85
"295";295;0.998182640003147;2782400.85
"296";296;0.998182640003147;2782400.85
"297";297;0.998182640003147;2782400.85
"298";298;0.998182640003147;2782400.85
"299";299;0.998182640003147;2782400.85
"300";300;0.998182640003147;2782400.85
"301";301;0.998182640003147;2782400.85
"302";302;0.998182640003147;2782400.85
"303";303;0.998182640003147;2782400.85
"304";304;0.998182640003147;2782400.85
"305";305;0.998182640003147;2782400.85
"306";306;0.998182640003147;2782400.85
"307";307;0.998182640003147;2782400.85
"308";308;0.998182640003147;2782400.85
"309";309;0.998182640003147;2782400.85
"310";310;0.998182640003147;2782400.85
"311";311;0.998182640003147;2782400.85
"312";312;0.998182640003147;2782400.85
"313";313;0.998182640003147;2782400.85
"314";314;0.998182640003147;2782400.85
"315";315;0.998182640003147;2782400.85
"316";316;0.998182640003147;2782400.85
"317";317;0.998182640003147;2782400.85
"318";318;0.998182640003147;2782400.85
"319";319;0.998182640003147;2782400.85
"320";320;0.998182640003147;2782400.85
"321";321;0.998182640003147;2782400.85
"322";322;0.998182640003147;2782400.85
"323";323;0.998182640003147;2782400.85
"324";324;0.998182640003147;2782400.85
"325";325;0.998182640003147;2782400.85
"326";326;0.998182640003147;2782400.85
"327";327;0.998182640003147;2782400.85
"328";328;0.998182640003147;2782400.85
"329";329;0.998182640003147;2782400.85
"330";330;0.998182640003147;2782400.85
"331";331;0.998182640003147;2782400.85
"332";332;0.998182640003147;2782400.85
"333";333;0.998182640003147;2782400.85
"334";334;0.998182640003147;2782400.85
"335";335;0.998182640003147;2782400.85
"336";336;0.998182640003147;2782400.85
"337";337;0.998182640003147;2782400.85
"338";338;0.998182640003147;2782400.85
"339";339;0.998182640003147;2782400.85
"340";340;0.998182640003147;2782400.85
"341";341;0.998182640003147;2782400.85
"342";342;0.998182640003147;2782400.85
"343";343;0.998182640003147;2782400.85
"344";344;0.998182640003147;2782400.85
"345";345;0.998182640003147;2782400.85
"346";346;0.998182640003147;2782400.85
"347";347;0.998182640003147;2782400.85
"348";348;0.998182640003147;2782400.85
"349";349;0.998182640003147;2782400.85
"350";350;0.998182640003147;2782400.85
"351";351;0.998182640003147;2782400.85
"352";352;0.998182640003147;2782400.85
"353";353;0.998182640003147;2782400.85
"354";354;0.998182640003147;2782400.85
"355";355;0.998182640003147;2782400.85
"356";356;0.998182640003147;2782400.85
"357";357;0.998182640003147;2782400.85
"358";358;0.998182640003147;2782400.85
"359";359;0.998182640003147;2782400.85
"360";360;0.998182640003147;2782400.85
"361";361;0.998182640003147;2782400.85
"362";362;0.998182640003147;2782400.85
"363";363;0.998182640003147;2782400.85
"364";364;0.998182640003147;2782400.85
"365";365;0.998182640003147;2782400.85
"366";366;0.998182640003147;2782400.85
