"","2022","2018","med_term_rcp85"
"1",57.805,195.215,60.6938537674419
"2",64.387,80.348,58.7209265116279
"3",39.798,81.553,67.8480245581395
"4",70.259,97.962,71.029376
"5",41.584,61.363,78.8561696744186
"6",20.013,99.101,65.5345413953488
"7",26.368,33.985,39.7526615813954
"8",26.788,21.042,25.2375895813954
"9",87.245,26.436,24.5819445581395
"10",70.942,24.473,31.9688119069767
"11",64.007,21.344,41.7051155348837
"12",125.414,114.11,51.2516666046512
