"","time","runoff"
"229",1923-08-17,1.01
"230",1923-08-18,0.96
"231",1923-08-19,0.91
"232",1923-08-20,0.76
"233",1923-08-21,0.81
"234",1923-08-22,0.71
"235",1923-08-23,0.56
"236",1923-08-24,0.76
"237",1923-08-25,0.81
"238",1923-08-26,0.91
"239",1923-08-27,0.71
"240",1923-08-28,0.76
"241",1923-08-29,0.66
"242",1923-08-30,0.71
"243",1923-08-31,0.71
"244",1923-09-01,1.01
"245",1923-09-02,0.61
"246",1923-09-03,0.71
"247",1923-09-04,0.81
"248",1923-09-05,0.71
"249",1923-09-06,0.71
"250",1923-09-07,0.66
"251",1923-09-08,0.61
"252",1923-09-09,0.56
"253",1923-09-10,0.56
"254",1923-09-11,0.61
"255",1923-09-12,0.56
"256",1923-09-13,0.52
"257",1923-09-14,0.48
"258",1923-09-15,0.48
"259",1923-09-16,0.48
"260",1923-09-17,0.56
"261",1923-09-18,0.56
"262",1923-09-19,0.71
"263",1923-09-20,1.01
"264",1923-09-21,1.76
"265",1923-09-22,1.11
"266",1923-09-23,0.86
"267",1923-09-24,0.91
"268",1923-09-25,0.91
"269",1923-09-26,0.91
"270",1923-09-27,0.86
"271",1923-09-28,0.81
"272",1923-09-29,0.71
"273",1923-09-30,0.45
"274",1923-10-01,0.28
"275",1923-10-02,0.45
"276",1923-10-03,1.26
"277",1923-10-04,0.61
"278",1923-10-05,1.43
"279",1923-10-06,1.01
"280",1923-10-07,1.37
"281",1923-10-08,2.1
"282",1923-10-09,3.35
"283",1923-10-10,1.6
"284",1923-10-11,1.11
"285",1923-10-12,1.16
"286",1923-10-13,2.86
"287",1923-10-14,3.7
"288",1923-10-15,2.38
"289",1923-10-16,1.06
"290",1923-10-17,1.06
"291",1923-10-18,1.01
"292",1923-10-19,1.11
"293",1923-10-20,1.11
"294",1923-10-21,1.01
"295",1923-10-22,1.01
"296",1923-10-23,6.97
"297",1923-10-24,5.71
"298",1923-10-25,4.65
"299",1923-10-26,4.5
"300",1923-10-27,3.35
