Tiere - Rinder;424;......0671 Wileroltigen;200;293;338;341;372;421;457;488;482;478
Tiere - Rinder;425;......0852 Guggisberg;3835;3915;3981;3898;3708;4004;4098;3778;3757;3641
Tiere - Rinder;426;......0853 Rüschegg;1406;1437;1568;1559;1343;1467;1619;1543;1543;1601
Tiere - Rinder;427;......0855 Schwarzenburg;5430;6073;6220;6013;5872;6325;6465;6181;6296;5900
Tiere - Rinder;428;......0861 Belp;1743;1953;2250;2328;2372;2710;3077;2836;3201;3062
Tiere - Rinder;429;......0866 Gerzensee;934;913;960;785;761;878;915;862;951;950
Tiere - Rinder;430;......0868 Jaberg;143;83;82;77;107;141;121;133;160;167
Tiere - Rinder;431;......0869 Kaufdorf;164;178;257;450;334;365;428;461;431;433
Tiere - Rinder;432;......0870 Kehrsatz;419;410;487;489;499;532;654;634;615;682
Tiere - Rinder;433;......0872 Kirchdorf (BE);1495;1575;1755;1783;1862;2106;2290;2215;2306;2215
Tiere - Rinder;434;......0877 Niedermuhlern;945;913;1024;971;1025;1046;1125;1080;1143;1132
Tiere - Rinder;435;......0879 Riggisberg;2244;2508;2561;2673;2721;2896;3008;2827;2901;2722
Tiere - Rinder;436;......0880 Rüeggisberg;3680;3682;3939;4140;4119;4470;4798;4486;4267;4153
Tiere - Rinder;437;......0884 Toffen;355;433;466;427;429;451;568;519;593;591
Tiere - Rinder;438;......0888 Wald (BE);1612;1832;1677;1503;1553;1753;2013;1850;1843;1828
Tiere - Rinder;439;......0889 Thurnen;825;920;924;872;875;962;1041;1041;1070;1104
Tiere - Rinder;440;>> Verwaltungskreis Thun;24259;24803;26428;26926;27039;28757;30891;28908;28321;27491
Tiere - Rinder;441;......0767 Reutigen;799;796;829;819;818;847;887;840;779;689
Tiere - Rinder;442;......0770 Stocken-Höfen;974;1020;1024;1158;1122;1208;1251;1222;1121;1109
Tiere - Rinder;443;......0863 Burgistein;1054;1106;1118;1085;1160;1043;1045;1017;1010;1037
Tiere - Rinder;444;......0867 Gurzelen;842;850;868;823;833;777;927;849;814;830
Tiere - Rinder;445;......0883 Seftigen;375;423;442;455;469;560;546;561;649;555
Tiere - Rinder;446;......0885 Uttigen;334;376;369;419;433;465;444;448;441;437
Tiere - Rinder;447;......0886 Wattenwil;1008;1030;1172;1158;1039;1164;1343;1195;1333;1245
Tiere - Rinder;448;......0921 Amsoldingen;647;700;699;720;663;708;753;689;689;632
Tiere - Rinder;449;......0922 Blumenstein;678;674;678;718;714;775;1364;884;827;796
Tiere - Rinder;450;......0923 Buchholterberg;1913;2028;2136;2115;2152;2234;2325;2222;2104;1995
Tiere - Rinder;451;......0924 Eriz;818;871;790;881;848;877;926;837;781;787
Tiere - Rinder;452;......0925 Fahrni;1029;1087;1128;1092;1082;1172;1309;1240;1227;1146
Tiere - Rinder;453;......0927 Heiligenschwendi;417;392;435;459;483;524;527;504;482;485
Tiere - Rinder;454;......0928 Heimberg;347;374;307;314;371;415;395;379;435;439
Tiere - Rinder;455;......0929 Hilterfingen;0;0;0;7;11;7;9;3;5;39
Tiere - Rinder;456;......0931 Homberg;767;717;774;794;836;827;869;895;870;831
Tiere - Rinder;457;......0932 Horrenbach-Buchen;595;615;677;691;631;711;717;680;646;651
Tiere - Rinder;458;......0934 Oberhofen am Thunersee;96;105;118;120;125;153;151;169;145;174
Tiere - Rinder;459;......0935 Oberlangenegg;898;876;992;1077;1020;1041;1186;1112;1068;927
Tiere - Rinder;460;......0936 Pohlern;360;361;413;446;453;398;430;371;348;331
Tiere - Rinder;461;......0938 Sigriswil;2293;2422;2853;2883;2843;3207;3181;2937;2747;2731
Tiere - Rinder;462;......0939 Steffisburg;982;1053;1191;1235;1421;1586;1799;1728;1771;1746
Tiere - Rinder;463;......0940 Teuffenthal (BE);391;385;419;443;401;354;393;360;338;333
Tiere - Rinder;464;......0941 Thierachern;1018;943;1024;968;983;929;959;954;1018;928
Tiere - Rinder;465;......0942 Thun;540;615;826;886;925;1124;1131;1167;1113;1151
Tiere - Rinder;466;......0943 Uebeschi;872;848;986;964;905;994;1007;931;878;885
Tiere - Rinder;467;......0944 Uetendorf;1305;1286;1286;1193;1238;1393;1570;1515;1725;1634
Tiere - Rinder;468;......0945 Unterlangenegg;917;997;1070;1167;1203;1220;1345;1277;1224;1255
Tiere - Rinder;469;......0946 Wachseldorn;634;600;640;648;637;754;765;703;652;622
Tiere - Rinder;470;......0947 Zwieselberg;316;345;316;337;358;361;403;391;368;373
Tiere - Rinder;471;......0948 Forst-Längenbühl;1040;908;848;851;862;929;934;828;713;698
Tiere - Rinder;472;>> Verwaltungskreis Obersimmental-Saanen;17902;18722;19753;20047;19917;20275;22365;19442;19158;19146
Tiere - Rinder;473;......0791 Boltigen;2675;2897;3212;3423;3325;3504;3723;3313;3110;3091
Tiere - Rinder;474;......0792 Lenk;2840;2970;3213;3138;3129;3106;3419;2925;2809;2829
Tiere - Rinder;475;......0793 St. Stephan;2443;2596;2730;2665;2394;2469;2661;2165;2127;2117
Tiere - Rinder;476;......0794 Zweisimmen;2681;2731;2743;2963;3033;3108;3613;3202;3253;3287
Tiere - Rinder;477;......0841 Gsteig;1214;1187;1331;1438;1399;1366;1309;1125;1101;1133
Tiere - Rinder;478;......0842 Lauenen;1343;1272;1254;1297;1364;1306;1441;1114;1217;1083
Tiere - Rinder;479;......0843 Saanen;4706;5069;5270;5123;5273;5416;6199;5598;5541;5606
Tiere - Rinder;480;>> Verwaltungskreis Frutigen-Niedersimmental;25144;26067;27167;27839;27056;28905;31016;26928;25715;25615
Tiere - Rinder;481;......0561 Adelboden;2914;2974;3165;3019;3122;3192;3309;2864;2616;2609
Tiere - Rinder;482;......0562 Aeschi bei Spiez;1698;1733;1752;1882;1705;1924;2141;1926;1875;1959
Tiere - Rinder;483;......0563 Frutigen;5385;5406;5568;5628;5343;6012;6037;4926;4642;4482
Tiere - Rinder;484;......0564 Kandergrund;909;1004;1062;1111;1199;1122;1259;1038;995;966
Tiere - Rinder;485;......0565 Kandersteg;254;247;254;304;294;319;316;280;275;337
Tiere - Rinder;486;......0566 Krattigen;292;274;313;320;300;326;401;357;299;333
Tiere - Rinder;487;......0567 Reichenbach im Kandertal;2916;2998;3266;3401;3209;3477;3757;3379;3234;3337
Tiere - Rinder;488;......0761 Därstetten;1422;1412;1454;1606;1556;1610;1818;1555;1489;1464
Tiere - Rinder;489;......0762 Diemtigen;3488;3611;3795;3804;3819;4121;4732;4138;3884;3914
Tiere - Rinder;490;......0763 Erlenbach im Simmental;1481;1609;1553;1672;1597;1702;1844;1697;1718;1538
Tiere - Rinder;491;......0766 Oberwil im Simmental;2209;2317;2583;2572;2551;2583;2820;2334;2372;2422
Tiere - Rinder;492;......0768 Spiez;1129;1328;1284;1411;1348;1439;1446;1404;1326;1441
Tiere - Rinder;493;......0769 Wimmis;1047;1154;1118;1109;1013;1078;1136;1030;990;813
Tiere - Pferdegattung;366;......0307 Meikirch;43;32;34;39;43;42;30;32;28;34
Tiere - Pferdegattung;367;......0351 Bern;116;119;97;65;75;84;253;74;67;80
Tiere - Pferdegattung;368;......0352 Bolligen;46;48;54;48;60;58;69;45;77;0
Tiere - Pferdegattung;369;......0353 Bremgarten bei Bern;2;2;0;2;4;5;5;2;0;2
Tiere - Pferdegattung;370;......0354 Kirchlindach;256;224;154;80;68;62;25;44;54;65
Tiere - Pferdegattung;371;......0355 Köniz;228;244;270;208;166;198;193;169;204;273
Tiere - Pferdegattung;372;......0356 Muri bei Bern;2;9;21;0;2;6;8;5;7;15
Tiere - Pferdegattung;373;......0357 Oberbalm;80;72;77;83;85;82;85;72;85;113
Tiere - Pferdegattung;374;......0358 Stettlen;7;17;18;22;17;21;11;23;22;23
Tiere - Pferdegattung;375;......0359 Vechigen;114;73;95;85;131;142;126;106;115;150
Tiere - Pferdegattung;376;......0360 Wohlen bei Bern;238;232;257;217;206;164;120;98;97;106
Tiere - Pferdegattung;377;......0361 Zollikofen;4;4;8;7;9;6;10;13;16;13
Tiere - Pferdegattung;378;......0362 Ittigen;103;72;54;42;45;44;12;12;0;0
Tiere - Pferdegattung;379;......0363 Ostermundigen;8;13;14;13;12;9;9;23;0;98
Tiere - Pferdegattung;380;......0403 Bäriswil;12;12;11;12;11;12;3;5;8;8
Tiere - Pferdegattung;381;......0535 Deisswil bei Münchenbuchsee;33;26;39;41;40;33;29;29;33;24
Tiere - Pferdegattung;382;......0538 Fraubrunnen;171;195;137;98;89;59;58;44;45;63
Tiere - Pferdegattung;383;......0540 Jegenstorf;36;41;28;32;27;28;25;29;44;56
Tiere - Pferdegattung;384;......0541 Iffwil;78;55;75;60;12;11;7;12;11;13
Tiere - Pferdegattung;385;......0543 Mattstetten;3;3;1;1;2;4;2;2;4;9
Tiere - Pferdegattung;386;......0544 Moosseedorf;43;64;44;25;13;16;3;7;8;11
Tiere - Pferdegattung;387;......0546 Münchenbuchsee;66;51;30;34;21;34;47;34;47;61
Tiere - Pferdegattung;388;......0551 Urtenen-Schönbühl;37;40;37;44;43;37;14;14;18;22
