LN - Dauerkulturen (in ha);425;......0852 Guggisberg;2;2;0;0;0;0;0;0
LN - Dauerkulturen (in ha);426;......0853 Rüschegg;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);427;......0855 Schwarzenburg;2;0;0;1;1;2;2;1
LN - Dauerkulturen (in ha);428;......0861 Belp;19;17;14;8;6;5;6;3
LN - Dauerkulturen (in ha);429;......0866 Gerzensee;1;1;0;0;0;0;0;1
LN - Dauerkulturen (in ha);430;......0868 Jaberg;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);431;......0869 Kaufdorf;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);432;......0870 Kehrsatz;0;0;0;0;1;1;1;0
LN - Dauerkulturen (in ha);433;......0872 Kirchdorf (BE);39;31;18;17;15;16;18;14
LN - Dauerkulturen (in ha);434;......0877 Niedermuhlern;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);435;......0879 Riggisberg;2;0;1;0;0;1;1;1
LN - Dauerkulturen (in ha);436;......0880 Rüeggisberg;1;1;1;0;0;0;0;0
LN - Dauerkulturen (in ha);437;......0884 Toffen;0;0;0;1;1;1;1;0
LN - Dauerkulturen (in ha);438;......0888 Wald (BE);3;4;3;2;1;1;1;2
LN - Dauerkulturen (in ha);439;......0889 Thurnen;1;1;1;1;0;0;0;0
LN - Dauerkulturen (in ha);440;>> Verwaltungskreis Thun;19;24;30;26;28;32;33;37
LN - Dauerkulturen (in ha);441;......0767 Reutigen;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);442;......0770 Stocken-Höfen;0;0;1;0;0;0;0;0
LN - Dauerkulturen (in ha);443;......0863 Burgistein;0;1;1;1;1;2;0;0
LN - Dauerkulturen (in ha);444;......0867 Gurzelen;1;1;1;1;1;1;0;0
LN - Dauerkulturen (in ha);445;......0883 Seftigen;0;0;2;1;0;0;0;0
LN - Dauerkulturen (in ha);446;......0885 Uttigen;2;2;3;1;1;4;4;3
LN - Dauerkulturen (in ha);447;......0886 Wattenwil;0;0;0;0;0;0;0;1
LN - Dauerkulturen (in ha);448;......0921 Amsoldingen;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);449;......0922 Blumenstein;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);450;......0923 Buchholterberg;0;0;0;0;0;0;1;0
LN - Dauerkulturen (in ha);451;......0924 Eriz;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);452;......0925 Fahrni;1;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);453;......0927 Heiligenschwendi;0;1;0;0;0;0;0;0
LN - Dauerkulturen (in ha);454;......0928 Heimberg;0;0;0;0;0;1;2;2
LN - Dauerkulturen (in ha);455;......0929 Hilterfingen;1;2;2;1;1;0;0;5
LN - Dauerkulturen (in ha);456;......0931 Homberg;0;0;0;0;0;0;2;0
LN - Dauerkulturen (in ha);457;......0932 Horrenbach-Buchen;0;0;0;0;0;0;0;0
LN - Dauerkulturen (in ha);458;......0934 Oberhofen am Thunersee;3;3;4;2;2;2;3;2
